
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020150                       # Number of seconds simulated (Second)
simTicks                                  20150356500                       # Number of ticks simulated (Tick)
finalTick                                 20150356500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    301.81                       # Real time elapsed on the host (Second)
hostTickRate                                 66764402                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     801452                       # Number of bytes of host memory used (Byte)
simInsts                                     21343836                       # Number of instructions simulated (Count)
simOps                                       39396425                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    70719                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     130533                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         40300714                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        52018161                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    19381                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       47995657                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  31264                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             12641111                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          21482551                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               19363                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            38162986                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.257649                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.022789                       # Number of insts issued each cycle (Count)
system.cpu.commit.committedInstType_0::SimdFloatMult            0      0.00%     74.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     74.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     74.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAdd            0      0.00%     74.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAlu            0      0.00%     74.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceCmp            0      0.00%     74.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     74.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     74.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAes            0      0.00%     74.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAesMix            0      0.00%     74.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash            0      0.00%     74.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     74.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash            0      0.00%     74.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     74.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma2            0      0.00%     74.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma3            0      0.00%     74.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdPredAlu            0      0.00%     74.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemRead      6707235     17.02%     91.68% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemWrite      3206235      8.14%     99.82% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMemRead        70918      0.18%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMemWrite           64      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IprAccess            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::InstPrefetch            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::total     39396425                       # Class of committed instruction (Count)
system.cpu.commit.commitEligibleSamples       1769163                       # number cycles where commit BW limit reached (Cycle)
system.cpu.dcache.demandHits::cpu.data       10131276                       # number of demand (read+write) hits (Count)
system.cpu.dcache.demandHits::total          10131276                       # number of demand (read+write) hits (Count)
system.cpu.dcache.overallHits::cpu.data      10131276                       # number of overall hits (Count)
system.cpu.dcache.overallHits::total         10131276                       # number of overall hits (Count)
system.cpu.dcache.demandMisses::cpu.data       145121                       # number of demand (read+write) misses (Count)
system.cpu.dcache.demandMisses::total          145121                       # number of demand (read+write) misses (Count)
system.cpu.dcache.overallMisses::cpu.data       145121                       # number of overall misses (Count)
system.cpu.dcache.overallMisses::total         145121                       # number of overall misses (Count)
system.cpu.dcache.demandMissLatency::cpu.data   2903152958                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.demandMissLatency::total   2903152958                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.overallMissLatency::cpu.data   2903152958                       # number of overall miss ticks (Tick)
system.cpu.dcache.overallMissLatency::total   2903152958                       # number of overall miss ticks (Tick)
system.cpu.dcache.demandAccesses::cpu.data     10276397                       # number of demand (read+write) accesses (Count)
system.cpu.dcache.demandAccesses::total      10276397                       # number of demand (read+write) accesses (Count)
system.cpu.dcache.overallAccesses::cpu.data     10276397                       # number of overall (read+write) accesses (Count)
system.cpu.dcache.overallAccesses::total     10276397                       # number of overall (read+write) accesses (Count)
system.cpu.dcache.demandMissRate::cpu.data     0.014122                       # miss rate for demand accesses (Ratio)
system.cpu.dcache.demandMissRate::total      0.014122                       # miss rate for demand accesses (Ratio)
system.cpu.dcache.overallMissRate::cpu.data     0.014122                       # miss rate for overall accesses (Ratio)
system.cpu.dcache.overallMissRate::total     0.014122                       # miss rate for overall accesses (Ratio)
system.cpu.dcache.demandAvgMissLatency::cpu.data 20005.050668                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.dcache.demandAvgMissLatency::total 20005.050668                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.dcache.overallAvgMissLatency::cpu.data 20005.050668                       # average overall miss latency ((Tick/Count))
system.cpu.dcache.overallAvgMissLatency::total 20005.050668                       # average overall miss latency ((Tick/Count))
system.cpu.dcache.blockedCycles::no_mshrs        23774                       # number of cycles access was blocked (Cycle)
system.cpu.dcache.blockedCycles::no_targets          740                       # number of cycles access was blocked (Cycle)
system.cpu.dcache.blockedCauses::no_mshrs          758                       # number of times access was blocked (Count)
system.cpu.dcache.blockedCauses::no_targets           11                       # number of times access was blocked (Count)
system.cpu.dcache.avgBlocked::no_mshrs      31.364116                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dcache.avgBlocked::no_targets    67.272727                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dcache.writebacks::writebacks        39173                       # number of writebacks (Count)
system.cpu.dcache.writebacks::total             39173                       # number of writebacks (Count)
system.cpu.dcache.demandMshrHits::cpu.data        55253                       # number of demand (read+write) MSHR hits (Count)
system.cpu.dcache.demandMshrHits::total         55253                       # number of demand (read+write) MSHR hits (Count)
system.cpu.dcache.overallMshrHits::cpu.data        55253                       # number of overall MSHR hits (Count)
system.cpu.dcache.overallMshrHits::total        55253                       # number of overall MSHR hits (Count)
system.cpu.dcache.demandMshrMisses::cpu.data        89868                       # number of demand (read+write) MSHR misses (Count)
system.cpu.dcache.demandMshrMisses::total        89868                       # number of demand (read+write) MSHR misses (Count)
system.cpu.dcache.overallMshrMisses::cpu.data        89868                       # number of overall MSHR misses (Count)
system.cpu.dcache.overallMshrMisses::total        89868                       # number of overall MSHR misses (Count)
system.cpu.dcache.demandMshrMissLatency::cpu.data   1412210458                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.dcache.demandMshrMissLatency::total   1412210458                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.dcache.overallMshrMissLatency::cpu.data   1412210458                       # number of overall MSHR miss ticks (Tick)
system.cpu.dcache.overallMshrMissLatency::total   1412210458                       # number of overall MSHR miss ticks (Tick)
system.cpu.dcache.demandMshrMissRate::cpu.data     0.008745                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.dcache.demandMshrMissRate::total     0.008745                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.dcache.overallMshrMissRate::cpu.data     0.008745                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.dcache.overallMshrMissRate::total     0.008745                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.dcache.demandAvgMshrMissLatency::cpu.data 15714.274914                       # average overall mshr miss latency ((Tick/Count))
system.cpu.dcache.demandAvgMshrMissLatency::total 15714.274914                       # average overall mshr miss latency ((Tick/Count))
system.cpu.dcache.overallAvgMshrMissLatency::cpu.data 15714.274914                       # average overall mshr miss latency ((Tick/Count))
system.cpu.dcache.overallAvgMshrMissLatency::total 15714.274914                       # average overall mshr miss latency ((Tick/Count))
system.cpu.dcache.replacements                  89804                       # number of replacements (Count)
system.cpu.dcache.ReadReq.hits::cpu.data      6944434                       # number of ReadReq hits (Count)
system.cpu.dcache.ReadReq.hits::total         6944434                       # number of ReadReq hits (Count)
system.cpu.dcache.ReadReq.misses::cpu.data       125662                       # number of ReadReq misses (Count)
system.cpu.dcache.ReadReq.misses::total        125662                       # number of ReadReq misses (Count)
system.cpu.dcache.ReadReq.missLatency::cpu.data   2524635500                       # number of ReadReq miss ticks (Tick)
system.cpu.dcache.ReadReq.missLatency::total   2524635500                       # number of ReadReq miss ticks (Tick)
system.cpu.dcache.ReadReq.accesses::cpu.data      7070096                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.dcache.ReadReq.accesses::total      7070096                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.dcache.ReadReq.missRate::cpu.data     0.017774                       # miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.missRate::total     0.017774                       # miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.avgMissLatency::cpu.data 20090.683739                       # average ReadReq miss latency ((Tick/Count))
system.cpu.dcache.ReadReq.avgMissLatency::total 20090.683739                       # average ReadReq miss latency ((Tick/Count))
system.cpu.dcache.ReadReq.mshrHits::cpu.data        55210                       # number of ReadReq MSHR hits (Count)
system.cpu.dcache.ReadReq.mshrHits::total        55210                       # number of ReadReq MSHR hits (Count)
system.cpu.dcache.ReadReq.mshrMisses::cpu.data        70452                       # number of ReadReq MSHR misses (Count)
system.cpu.dcache.ReadReq.mshrMisses::total        70452                       # number of ReadReq MSHR misses (Count)
system.cpu.dcache.ReadReq.mshrMissLatency::cpu.data   1054557000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.dcache.ReadReq.mshrMissLatency::total   1054557000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.dcache.ReadReq.mshrMissRate::cpu.data     0.009965                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.mshrMissRate::total     0.009965                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.avgMshrMissLatency::cpu.data 14968.446602                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.dcache.ReadReq.avgMshrMissLatency::total 14968.446602                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.hits::cpu.data      3186842                       # number of WriteReq hits (Count)
system.cpu.dcache.WriteReq.hits::total        3186842                       # number of WriteReq hits (Count)
system.cpu.dcache.WriteReq.misses::cpu.data        19459                       # number of WriteReq misses (Count)
system.cpu.dcache.WriteReq.misses::total        19459                       # number of WriteReq misses (Count)
system.cpu.dcache.WriteReq.missLatency::cpu.data    378517458                       # number of WriteReq miss ticks (Tick)
system.cpu.dcache.WriteReq.missLatency::total    378517458                       # number of WriteReq miss ticks (Tick)
system.cpu.dcache.WriteReq.accesses::cpu.data      3206301                       # number of WriteReq accesses(hits+misses) (Count)
system.cpu.dcache.WriteReq.accesses::total      3206301                       # number of WriteReq accesses(hits+misses) (Count)
system.cpu.dcache.WriteReq.missRate::cpu.data     0.006069                       # miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.missRate::total     0.006069                       # miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.avgMissLatency::cpu.data 19452.050876                       # average WriteReq miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.avgMissLatency::total 19452.050876                       # average WriteReq miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.mshrHits::cpu.data           43                       # number of WriteReq MSHR hits (Count)
system.cpu.dcache.WriteReq.mshrHits::total           43                       # number of WriteReq MSHR hits (Count)
system.cpu.dcache.WriteReq.mshrMisses::cpu.data        19416                       # number of WriteReq MSHR misses (Count)
system.cpu.dcache.WriteReq.mshrMisses::total        19416                       # number of WriteReq MSHR misses (Count)
system.cpu.dcache.WriteReq.mshrMissLatency::cpu.data    357653458                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu.dcache.WriteReq.mshrMissLatency::total    357653458                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu.dcache.WriteReq.mshrMissRate::cpu.data     0.006056                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.mshrMissRate::total     0.006056                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.avgMshrMissLatency::cpu.data 18420.553049                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.avgMshrMissLatency::total 18420.553049                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu.dcache.power_state.pwrStateResidencyTicks::UNDEFINED  20150356500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.dcache.tags.tagsInUse            63.991049                       # Average ticks per tags in use ((Tick/Count))
system.cpu.dcache.tags.totalRefs             10221144                       # Total number of references to valid blocks. (Count)
system.cpu.dcache.tags.sampledRefs              89868                       # Sample count of references to valid blocks. (Count)
system.cpu.dcache.tags.avgRefs             113.735078                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.dcache.tags.warmupTick            11385000                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.dcache.tags.occupancies::cpu.data    63.991049                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu.dcache.tags.avgOccs::cpu.data     0.999860                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.dcache.tags.avgOccs::total        0.999860                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.dcache.tags.occupanciesTaskId::1024           64                       # Occupied blocks per task id (Count)
system.cpu.dcache.tags.ageTaskId_1024::0           47                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_1024::1            2                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_1024::2           12                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_1024::3            3                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ratioOccsTaskId::1024            1                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu.dcache.tags.tagAccesses           20642662                       # Number of tag accesses (Count)
system.cpu.dcache.tags.dataAccesses          20642662                       # Number of data accesses (Count)
system.cpu.dcache.tags.power_state.pwrStateResidencyTicks::UNDEFINED  20150356500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.decode.idleCycles                 27339922                       # Number of cycles decode is idle (Cycle)
system.cpu.decode.blockedCycles               2154843                       # Number of cycles decode is blocked (Cycle)
system.cpu.decode.runCycles                   7970906                       # Number of cycles decode is running (Cycle)
system.cpu.decode.unblockCycles                470388                       # Number of cycles decode is unblocking (Cycle)
system.cpu.decode.squashCycles                 226927                       # Number of cycles decode is squashing (Cycle)
system.cpu.decode.branchResolved              2664636                       # Number of times decode resolved a branch (Count)
system.cpu.decode.branchMispred                 61311                       # Number of times decode detected a branch misprediction (Count)
system.cpu.decode.decodedInsts               54221141                       # Number of instructions handled by decode (Count)
system.cpu.decode.squashedInsts                191860                       # Number of squashed instructions handled by decode (Count)
system.cpu.fetch.icacheStallCycles           27572674                       # Number of cycles fetch is stalled on an Icache miss (Cycle)
system.cpu.fetch.insts                       32152457                       # Number of instructions fetch has processed (Count)
system.cpu.fetch.branches                     5142460                       # Number of branches that fetch encountered (Count)
system.cpu.fetch.predictedBranches            3228347                       # Number of branches that fetch has predicted taken (Count)
system.cpu.fetch.cycles                      10299257                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu.fetch.squashCycles                  576436                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu.fetch.miscStallCycles                  362                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu.fetch.pendingTrapStallCycles          2437                       # Number of stall cycles due to pending traps (Cycle)
system.cpu.fetch.icacheWaitRetryStallCycles           38                       # Number of stall cycles due to full MSHR (Cycle)
system.cpu.fetch.cacheLines                   4268647                       # Number of cache lines fetched (Count)
system.cpu.fetch.icacheSquashes                141571                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu.fetch.nisnDist::samples           38162986                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::mean              1.466257                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::stdev             2.875435                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::underflows               0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::0                 29117510     76.30%     76.30% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::1                   689884      1.81%     78.11% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::2                   362416      0.95%     79.06% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::3                   692662      1.82%     80.87% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::4                   550923      1.44%     82.31% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::5                   478616      1.25%     83.57% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::6                   797643      2.09%     85.66% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::7                   705249      1.85%     87.51% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::8                  4768083     12.49%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::overflows                0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::min_value                0                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::max_value                8                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::total             38162986                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.branchRate                  0.127602                       # Number of branch fetches per cycle (Ratio)
system.cpu.fetch.rate                        0.797814                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu.icache.demandHits::cpu.inst        3143679                       # number of demand (read+write) hits (Count)
system.cpu.icache.demandHits::total           3143679                       # number of demand (read+write) hits (Count)
system.cpu.icache.overallHits::cpu.inst       3143679                       # number of overall hits (Count)
system.cpu.icache.overallHits::total          3143679                       # number of overall hits (Count)
system.cpu.icache.demandMisses::cpu.inst      1124968                       # number of demand (read+write) misses (Count)
system.cpu.icache.demandMisses::total         1124968                       # number of demand (read+write) misses (Count)
system.cpu.icache.overallMisses::cpu.inst      1124968                       # number of overall misses (Count)
system.cpu.icache.overallMisses::total        1124968                       # number of overall misses (Count)
system.cpu.icache.demandMissLatency::cpu.inst  14522738500                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.demandMissLatency::total  14522738500                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.overallMissLatency::cpu.inst  14522738500                       # number of overall miss ticks (Tick)
system.cpu.icache.overallMissLatency::total  14522738500                       # number of overall miss ticks (Tick)
system.cpu.icache.demandAccesses::cpu.inst      4268647                       # number of demand (read+write) accesses (Count)
system.cpu.icache.demandAccesses::total       4268647                       # number of demand (read+write) accesses (Count)
system.cpu.icache.overallAccesses::cpu.inst      4268647                       # number of overall (read+write) accesses (Count)
system.cpu.icache.overallAccesses::total      4268647                       # number of overall (read+write) accesses (Count)
system.cpu.icache.demandMissRate::cpu.inst     0.263542                       # miss rate for demand accesses (Ratio)
system.cpu.icache.demandMissRate::total      0.263542                       # miss rate for demand accesses (Ratio)
system.cpu.icache.overallMissRate::cpu.inst     0.263542                       # miss rate for overall accesses (Ratio)
system.cpu.icache.overallMissRate::total     0.263542                       # miss rate for overall accesses (Ratio)
system.cpu.icache.demandAvgMissLatency::cpu.inst 12909.468092                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.demandAvgMissLatency::total 12909.468092                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::cpu.inst 12909.468092                       # average overall miss latency ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::total 12909.468092                       # average overall miss latency ((Tick/Count))
system.cpu.icache.blockedCycles::no_mshrs          983                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCauses::no_mshrs            7                       # number of times access was blocked (Count)
system.cpu.icache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.icache.avgBlocked::no_mshrs     140.428571                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.demandMshrHits::cpu.inst        22084                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.demandMshrHits::total         22084                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.overallMshrHits::cpu.inst        22084                       # number of overall MSHR hits (Count)
system.cpu.icache.overallMshrHits::total        22084                       # number of overall MSHR hits (Count)
system.cpu.icache.demandMshrMisses::cpu.inst      1102884                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.demandMshrMisses::total      1102884                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.overallMshrMisses::cpu.inst      1102884                       # number of overall MSHR misses (Count)
system.cpu.icache.overallMshrMisses::total      1102884                       # number of overall MSHR misses (Count)
system.cpu.icache.demandMshrMissLatency::cpu.inst  13308548000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissLatency::total  13308548000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::cpu.inst  13308548000                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::total  13308548000                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissRate::cpu.inst     0.258369                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.demandMshrMissRate::total     0.258369                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.overallMshrMissRate::cpu.inst     0.258369                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.overallMshrMissRate::total     0.258369                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.demandAvgMshrMissLatency::cpu.inst 12067.042409                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.demandAvgMshrMissLatency::total 12067.042409                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::cpu.inst 12067.042409                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::total 12067.042409                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.replacements                1102819                       # number of replacements (Count)
system.cpu.icache.ReadReq.hits::cpu.inst      3143679                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.hits::total         3143679                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.misses::cpu.inst      1124968                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.misses::total       1124968                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.missLatency::cpu.inst  14522738500                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.missLatency::total  14522738500                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.accesses::cpu.inst      4268647                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.accesses::total      4268647                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.missRate::cpu.inst     0.263542                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.missRate::total     0.263542                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMissLatency::cpu.inst 12909.468092                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMissLatency::total 12909.468092                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.mshrHits::cpu.inst        22084                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrHits::total        22084                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrMisses::cpu.inst      1102884                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMisses::total      1102884                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMissLatency::cpu.inst  13308548000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissLatency::total  13308548000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissRate::cpu.inst     0.258369                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.mshrMissRate::total     0.258369                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMshrMissLatency::cpu.inst 12067.042409                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMshrMissLatency::total 12067.042409                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.power_state.pwrStateResidencyTicks::UNDEFINED  20150356500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.icache.tags.tagsInUse            63.989285                       # Average ticks per tags in use ((Tick/Count))
system.cpu.icache.tags.totalRefs              4246562                       # Total number of references to valid blocks. (Count)
system.cpu.icache.tags.sampledRefs            1102883                       # Sample count of references to valid blocks. (Count)
system.cpu.icache.tags.avgRefs               3.850419                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.icache.tags.warmupTick             7052500                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.icache.tags.occupancies::cpu.inst    63.989285                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu.icache.tags.avgOccs::cpu.inst     0.999833                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.icache.tags.avgOccs::total        0.999833                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.icache.tags.occupanciesTaskId::1024           64                       # Occupied blocks per task id (Count)
system.cpu.icache.tags.ageTaskId_1024::0           58                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ageTaskId_1024::3            1                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ageTaskId_1024::4            5                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ratioOccsTaskId::1024            1                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu.icache.tags.tagAccesses            9640177                       # Number of tag accesses (Count)
system.cpu.icache.tags.dataAccesses           9640177                       # Number of data accesses (Count)
